,Samuel L. Jackson,Morgan Freeman,Bruce Willis,Robert De Niro,Matt Damon,Owen Wilson,Johnny Depp,Liam Neeson,Brad Pitt,Nicolas Cage,Stanley Tucci,Frank Welker,George Clooney,Cate Blanchett,Editor,Producer,crew_num,cast_num,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Zemeckis,Martin Scorsese,Tim Burton,Michael Bay,Renny Harlin,Robert Rodriguez,Steven Soderbergh,budget,Drama,Action,Comedy,Thriller,Adventure,genres_num,duringcreditsstinger,based on novel,aftercreditsstinger,dystopia,3d,violence,woman director,murder,original_en,Warner Bros.,Universal Pictures,Paramount Pictures,Twentieth Century Fox Film Corporation,Columbia Pictures,New Line Cinema,Relativity Media,Walt Disney Pictures,com_num,United States of America,United Kingdom,Germany,France,Canada,Australia,runtime,English,Français,month
21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,18,34,0,0,1,0,0,0,0,0,0,0,200,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,1,1,0,0,0,0,140.0,1,0,5
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,108,32,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,161.0,1,0,12
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,32,29,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,113.0,1,1,12
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,38,33,0,0,0,0,0,0,0,0,0,0,207,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,187.0,1,0,12
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,65,136,0,0,0,0,0,0,0,0,0,0,200,1,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,194.0,1,1,11
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,119,100,0,0,0,0,0,0,0,0,0,0,250,0,1,0,0,1,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,147.0,1,0,4
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,122,46,0,0,0,0,0,0,0,0,0,0,209,0,1,0,1,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,131.0,1,0,4
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,435,28,0,0,0,0,0,0,0,0,0,0,150,0,1,0,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,124.0,1,0,6
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,24,0,0,0,0,0,0,0,0,0,0,200,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,143.0,1,0,10
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,128,76,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,127.0,1,0,6
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,107,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,130.0,1,0,4
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,24,35,0,0,0,0,0,1,0,0,0,0,200,0,0,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,108.0,1,0,3
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,39,32,0,0,0,0,0,0,0,0,0,0,210,0,1,0,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,1,1,0,0,1,0,104.0,1,0,5
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,24,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,104.0,1,0,6
35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,55,37,0,0,0,0,0,0,1,0,0,0,150,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,150.0,1,0,6
36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,86,41,0,0,0,0,0,0,1,0,0,0,210,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,165.0,1,0,6
